Time;Channel1;Channel2;Ch1 - Ch2
0,0024;0,7407;0,542982;0,197718
0,0025;0,823;0,542982;0,280018
0,0026;0,823;0,551209;0,271791
0,0027;0,823;0,559436;0,263564
0,0028;0,823;0,551209;0,271791
0,0029;0,9053;0,559436;0,345864
0,003;0,9876;0,559436;0,428164
0,0031;0,9876;0,567663;0,419937
0,0032;0,9876;0,57589;0,41171
0,0033;1,0699;0,57589;0,49401
0,0034;1,0699;0,584117;0,485783
0,0035;1,0699;0,584117;0,485783
0,0036;1,1522;0,57589;0,57631
0,0037;1,1522;0,592344;0,559856
0,0038;1,2345;0,584117;0,650383
0,0039;1,1522;0,584117;0,568083
0,004;1,2345;0,592344;0,642156
0,0041;1,3168;0,592344;0,724456
0,0042;1,3168;0,592344;0,724456
0,0043;1,3168;0,592344;0,724456
0,0044;1,3168;0,600571;0,716229
0,0045;1,3991;0,608798;0,790302
0,0046;1,3991;0,600571;0,798529
0,0047;1,4814;0,608798;0,872602
0,0048;1,4814;0,600571;0,880829
0,0049;1,4814;0,608798;0,872602
0,005;1,5637;0,608798;0,954902
0,0051;1,5637;0,608798;0,954902
0,0052;1,5637;0,617025;0,946675
0,0053;1,646;0,617025;1,028975
0,0054;1,646;0,617025;1,028975
0,0055;1,7283;0,617025;1,111275
0,0056;1,7283;0,617025;1,111275
0,0057;1,7283;0,617025;1,111275
0,0058;1,8106;0,617025;1,193575
0,0059;1,8106;0,625252;1,185348
0,006;1,8106;0,625252;1,185348
0,0061;1,8929;0,625252;1,267648
0,0062;1,9752;0,625252;1,349948
0,0063;1,8929;0,633479;1,259421
0,0064;1,9752;0,633479;1,341721
0,0065;1,9752;0,633479;1,341721
0,0066;2,0575;0,625252;1,432248
0,0067;2,0575;0,625252;1,432248
0,0068;2,0575;0,633479;1,424021
0,0069;2,0575;0,633479;1,424021
0,007;2,1398;0,633479;1,506321
0,0071;2,1398;0,633479;1,506321
0,0072;2,2221;0,633479;1,588621
0,0073;2,3044;0,633479;1,670921
0,0074;2,3044;0,633479;1,670921
0,0075;2,3867;0,633479;1,753221
0,0076;2,3044;0,649933;1,654467
0,0077;2,3867;0,633479;1,753221
0,0078;2,3867;0,633479;1,753221
0,0079;2,3867;0,641706;1,744994
0,008;2,469;0,633479;1,835521
0,0081;2,469;0,641706;1,827294
0,0082;2,469;0,649933;1,819067
0,0083;2,5513;0,649933;1,901367
0,0084;2,6336;0,649933;1,983667
0,0085;2,5513;0,649933;1,901367
0,0086;2,6336;0,649933;1,983667
0,0087;2,6336;0,633479;2,000121
0,0088;2,7159;0,641706;2,074194
0,0089;2,7159;0,649933;2,065967
0,009;2,7982;0,65816;2,14004
0,0091;2,7982;0,65816;2,14004
0,0092;2,7982;0,649933;2,148267
0,0093;2,8805;0,65816;2,22234
0,0094;2,8805;0,649933;2,230567
0,0095;2,8805;0,65816;2,22234
0,0096;2,8805;0,649933;2,230567
0,0097;2,9628;0,649933;2,312867
0,0098;3,0451;0,649933;2,395167
0,0099;3,0451;0,65816;2,38694
0,01;3,0451;0,666387;2,378713
0,0101;3,1274;0,649933;2,477467
0,0102;3,1274;0,65816;2,46924
0,0103;3,1274;0,65816;2,46924
0,0104;3,1274;0,65816;2,46924
0,0105;3,2097;0,65816;2,55154
0,0106;3,2097;0,65816;2,55154
0,0107;3,2097;0,65816;2,55154
0,0108;3,292;0,65816;2,63384
0,0109;3,3743;0,65816;2,71614
0,011;3,3743;0,666387;2,707913
0,0111;3,3743;0,65816;2,71614
0,0112;3,4566;0,65816;2,79844
0,0113;3,4566;0,65816;2,79844
0,0114;3,5389;0,65816;2,88074
0,0115;3,5389;0,649933;2,888967
0,0116;3,5389;0,666387;2,872513
0,0117;3,6212;0,666387;2,954813
0,0118;3,6212;0,666387;2,954813
0,0119;3,6212;0,666387;2,954813
0,012;3,7035;0,666387;3,037113
0,0121;3,7035;0,666387;3,037113
0,0122;3,7858;0,666387;3,119413
0,0123;3,7858;0,674614;3,111186
0,0124;3,7858;0,666387;3,119413
0,0125;3,8681;0,674614;3,193486
0,0126;3,7858;0,674614;3,111186
0,0127;3,8681;0,674614;3,193486
0,0128;3,9504;0,674614;3,275786
0,0129;3,9504;0,674614;3,275786
0,013;3,9504;0,666387;3,284013
0,0131;4,0327;0,674614;3,358086
0,0132;3,9504;0,674614;3,275786
0,0133;4,115;0,674614;3,440386
0,0134;4,0327;0,674614;3,358086
0,0135;4,115;0,674614;3,440386
0,0136;4,115;0,674614;3,440386
0,0137;4,1973;0,666387;3,530913
0,0138;4,1973;0,674614;3,522686
0,0139;4,2796;0,666387;3,613213
0,014;4,2796;0,674614;3,604986
0,0141;4,3619;0,674614;3,687286
0,0142;4,3619;0,674614;3,687286
0,0143;4,3619;0,682841;3,679059
0,0144;4,3619;0,682841;3,679059
0,0145;4,4442;0,674614;3,769586
0,0146;4,4442;0,682841;3,761359
0,0147;4,6088;0,682841;3,925959
0,0148;4,5265;0,666387;3,860113
0,0149;4,5265;0,682841;3,843659
0,015;4,6088;0,682841;3,925959
