sep=	
Time	Channel1	Channel2
-0,0038400000000000005	7,864206	-0,171955
-0,0038200000000000005	7,864206	0
-0,0038000000000000004	7,693245	-0,171955
-0,0037800000000000004	7,693245	0
-0,0037600000000000003	7,522284	-0,171955
-0,0037400000000000003	7,522284	-0,171955
-0,00372	7,180362	0
-0,0037	7,180362	0
-0,00368	6,83844	0
-0,0036600000000000005	6,83844	0
-0,0036400000000000004	6,667479	-0,171955
-0,0036200000000000004	6,496518	-0,171955
-0,0036000000000000003	6,325557	0
-0,0035800000000000003	6,325557	-0,171955
-0,0035600000000000002	6,154596	0
-0,00354	5,9836350000000005	-0,171955
-0,00352	5,9836350000000005	0
-0,0035	5,812674	-0,171955
-0,0034800000000000005	5,812674	0
-0,0034600000000000004	5,641713	-0,171955
-0,0034400000000000003	5,641713	-0,171955
-0,0034200000000000003	5,470752	-0,171955
-0,0034000000000000002	5,12883	-0,171955
-0,00338	5,299791	0
-0,00336	5,12883	0
-0,00334	5,12883	-0,171955
-0,0033200000000000005	5,12883	0
-0,0033000000000000004	5,12883	0
-0,0032800000000000004	4,786908	-0,171955
-0,0032600000000000003	4,786908	-0,171955
-0,0032400000000000003	4,615947	-0,171955
-0,00322	4,786908	-0,171955
-0,0032	4,444986	0
-0,00318	4,615947	-0,171955
-0,00316	4,444986	-0,171955
-0,0031400000000000004	4,274025	0
-0,0031200000000000004	4,103064	-0,171955
-0,0031000000000000003	4,103064	-0,171955
-0,0030800000000000003	4,274025	0
-0,0030600000000000002	4,103064	-0,171955
-0,00304	3,761142	-0,171955
-0,00302	3,761142	0
-0,003	3,761142	-0,171955
-0,0029800000000000004	3,761142	0
-0,0029600000000000004	3,590181	0
-0,0029400000000000003	3,590181	0
-0,0029200000000000003	3,248259	-0,171955
-0,0029000000000000002	3,248259	-0,171955
-0,00288	3,248259	-0,171955
-0,00286	3,248259	0
-0,00284	3,248259	0
-0,00282	3,077298	0
-0,0028000000000000004	3,077298	0
-0,0027800000000000004	3,077298	0
-0,0027600000000000003	2,906337	-0,171955
-0,0027400000000000002	2,906337	-0,171955
-0,00272	2,906337	0
-0,0027	2,906337	-0,171955
-0,00268	2,906337	0
-0,00266	2,735376	-0,171955
-0,0026400000000000004	2,735376	0
-0,0026200000000000004	2,564415	0
-0,0026000000000000003	2,735376	0
-0,0025800000000000003	2,393454	0
-0,00256	2,393454	-0,171955
-0,00254	2,393454	-0,171955
-0,00252	2,222493	-0,171955
-0,0025	2,393454	-0,171955
-0,00248	2,222493	-0,171955
-0,0024600000000000004	2,051532	0
-0,0024400000000000003	2,051532	0
-0,0024200000000000003	2,222493	0
-0,0024000000000000002	2,051532	0
-0,00238	2,051532	0
-0,00236	2,051532	-0,171955
-0,00234	2,051532	0
-0,00232	1,70961	0
-0,0023000000000000004	1,880571	-0,171955
-0,0022800000000000003	1,70961	0
-0,0022600000000000003	1,880571	-0,171955
-0,0022400000000000002	1,70961	-0,171955
-0,00222	1,538649	-0,171955
-0,0022	1,70961	0
-0,00218	1,70961	0
-0,00216	1,70961	-0,171955
-0,00214	1,538649	0
-0,0021200000000000004	1,538649	-0,171955
-0,0021000000000000003	1,538649	0
-0,0020800000000000003	1,538649	0
-0,00206	1,367688	-0,171955
-0,00204	1,196727	-0,171955
-0,00202	1,367688	0
-0,002	1,367688	0
-0,00198	1,367688	0
-0,0019600000000000004	1,367688	0
-0,00194	1,367688	-0,171955
-0,0019200000000000003	1,196727	0
-0,0019000000000000002	1,196727	-0,171955
-0,0018800000000000002	1,196727	0
-0,00186	1,367688	0
-0,00184	1,025766	0
-0,0018200000000000002	1,025766	0
-0,0018000000000000002	1,025766	-0,171955
-0,0017800000000000001	1,196727	0
-0,00176	1,025766	-0,171955
-0,0017400000000000002	1,025766	0
-0,0017200000000000002	1,025766	-0,171955
-0,0017000000000000001	0,854805	0
-0,00168	1,025766	-0,171955
-0,0016600000000000002	0,854805	-0,171955
-0,0016400000000000002	0,854805	-0,171955
-0,0016200000000000001	0,854805	-0,171955
-0,0016	0,854805	-0,171955
-0,00158	0,854805	-0,171955
